house_id,date,date_range,time,white_goods,entertainment,air_conditioners,lighting,ev_charges,meter_reading,consumed_power,fridge,washing_machine,microwave,dishwasher,tv,wifi,laptop,chargers,lighting,fans,ac
1,2024-01-01,jan_1,00:00:00,0.0692,0.014,0.9385,0.0,0.0,67548.0217,1.0217,0.0692,0.0,0.0,0.0,0.0,0.0048,0.0,0.0092,0.0,0.0,0.9385
1,2024-01-01,jan_1,00:30:00,0.0711,0.0144,0.9179,0.0,0.0,67549.0251,1.0034,0.0711,0.0,0.0,0.0,0.0,0.0053,0.0,0.0091,0.0,0.0,0.9179
1,2024-01-01,jan_1,01:00:00,0.6814,0.005,1.0887,0.0,0.0,67550.8002,1.7751,0.0821,0.0,0.5993,0.0,0.0,0.005,0.0,0.0,0.0,0.0,1.0887
1,2024-01-01,jan_1,01:30:00,0.629,0.0051,1.0512,0.0,0.0,67552.4855,1.6853,0.0716,0.0,0.5574,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,1.0512
1,2024-01-01,jan_1,02:00:00,0.6597,0.0048,1.0711,0.0,0.0,67554.2211,1.7356,0.0741,0.0,0.5856,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,1.0711
1,2024-01-01,jan_1,02:30:00,0.6495,0.0053,1.0283,0.0,0.0,67555.9042,1.6831,0.0739,0.0,0.5756,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,1.0283
1,2024-01-01,jan_1,03:00:00,0.5939,0.0048,0.9045,0.0,0.0,67557.4074,1.5032,0.0759,0.0,0.518,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.9045
1,2024-01-01,jan_1,03:30:00,0.6224,0.0046,1.0956,0.0,0.0,67559.13,1.7226,0.0762,0.0,0.5462,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,1.0956
1,2024-01-01,jan_1,04:00:00,0.6279,0.0045,1.0919,0.0,0.0,67560.8543,1.7243,0.0698,0.0,0.5581,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,1.0919
1,2024-01-01,jan_1,04:30:00,0.0754,0.0154,0.9106,0.0,0.0,67561.8557,1.0014,0.0754,0.0,0.0,0.0,0.0,0.0051,0.0,0.0103,0.0,0.0,0.9106
