house_id,date,time,white_goods,entertainment,air_conditioners,lighting,ev_charges,meter_reading
1,2024-01-01,00:00:00,0.0742,0.0046,0.9288,0.0,0.0,67548.0076
1,2024-01-01,00:30:00,0.5749,0.0048,0.9016,0.0,0.0,67549.4889
1,2024-01-01,01:00:00,0.5925,0.0052,0.9698,0.0,0.0,67551.0564
1,2024-01-01,01:30:00,0.5876,0.0048,1.0907,0.0,0.0,67552.7395
1,2024-01-01,02:00:00,0.6332,0.015,0.9817,0.0,0.0,67554.3694
1,2024-01-01,02:30:00,0.0805,0.015,1.0875,0.0,0.0,67555.5524
1,2024-01-01,03:00:00,0.5947,0.0145,1.0601,0.0,0.0,67557.2217
1,2024-01-01,03:30:00,0.638,0.0139,0.9779,0.0,0.0,67558.8515
1,2024-01-01,04:00:00,0.6171,0.0047,1.0663,0.0,0.0,67560.5396
1,2024-01-01,04:30:00,0.0823,0.0161,1.059,0.0,0.0,67561.697
1,2024-01-01,05:00:00,0.0707,0.0157,1.054,0.0,0.0,67562.8374
1,2024-01-01,05:30:00,0.0801,0.0046,1.093,0.0,0.0,67564.0151
1,2024-01-01,06:00:00,0.6563,0.0049,0.0227,0.0,0.0,67564.699
1,2024-01-01,06:30:00,0.0684,0.0143,0.0242,0.0,0.0,67564.8059
1,2024-01-01,07:00:00,0.6621,0.005,0.0231,0.0,0.0,67565.4961
1,2024-01-01,07:30:00,0.0807,0.0054,0.0243,0.0,0.0,67565.6065
1,2024-01-01,08:00:00,0.6141,0.0051,0.0271,0.0,0.0,67566.2528
1,2024-01-01,08:30:00,0.068,0.0051,0.027,0.0,0.0,67566.3529
1,2024-01-01,09:00:00,0.075,0.0163,0.0239,0.0,0.0,67566.4681
1,2024-01-01,09:30:00,0.0785,0.014,0.0266,0.0,0.0,67566.5872
1,2024-01-01,10:00:00,0.0702,0.0925,0.023,0.0,0.0,67566.7729
1,2024-01-01,10:30:00,0.0778,0.0836,0.0267,0.0,0.0,67566.961
1,2024-01-01,11:00:00,0.6699,0.093,0.0254,0.0,0.0,67567.7493
1,2024-01-01,11:30:00,0.0697,0.0861,0.0261,0.0,0.0,67567.9312
1,2024-01-01,12:00:00,0.072,0.0932,0.0269,0.0,0.0,67568.1233
1,2024-01-01,12:30:00,0.6659,0.1002,0.0267,0.0,0.0,67568.9161
1,2024-01-01,13:00:00,0.6344,0.0848,0.0236,0.0,0.0,67569.6589
1,2024-01-01,13:30:00,0.5879,0.0997,0.027,0.0,0.0,67570.3735
1,2024-01-01,14:00:00,0.0769,0.0975,0.0272,0.0,0.0,67570.5751
1,2024-01-01,14:30:00,0.6322,0.0805,0.0243,0.0,0.0,67571.3121
1,2024-01-01,15:00:00,0.0704,0.0971,0.0235,0.0,0.0,67571.5031
1,2024-01-01,15:30:00,0.6018,0.0852,0.0229,0.0,0.0,67572.213
1,2024-01-01,16:00:00,0.6555,0.0907,0.0243,0.0,0.0,67572.9835
1,2024-01-01,16:30:00,0.0795,0.0925,0.0267,0.0,0.0,67573.1822
1,2024-01-01,17:00:00,0.072,0.1017,0.023,0.0,0.0,67573.3789
1,2024-01-01,17:30:00,0.0822,0.0996,0.0231,0.0,0.0,67573.5838
1,2024-01-01,18:00:00,0.59,0.0986,0.0271,0.0415,0.0,67574.341
1,2024-01-01,18:30:00,0.0815,0.0903,0.0261,0.0432,0.0,67574.5821
1,2024-01-01,19:00:00,0.0687,0.1012,0.0275,0.0415,0.0,67574.821
1,2024-01-01,19:30:00,0.5944,0.0915,0.023,0.0362,0.0,67575.5661
1,2024-01-01,20:00:00,0.5874,0.0922,0.0268,0.0412,0.0,67576.3137
1,2024-01-01,20:30:00,0.0714,0.084,0.0257,0.0439,0.0,67576.5387
1,2024-01-01,21:00:00,0.6418,0.005,0.0265,0.0415,0.0,67577.2535
1,2024-01-01,21:30:00,0.0748,0.0046,0.0225,0.0434,0.0,67577.3988
1,2024-01-01,22:00:00,0.6664,0.0047,0.952,0.036,0.0,67579.0579
1,2024-01-01,22:30:00,0.0697,0.0045,1.0968,0.0423,0.0,67580.2712
1,2024-01-01,23:00:00,0.5847,0.0054,0.9965,0.0,0.0,67581.8578
1,2024-01-01,23:30:00,0.6413,0.0148,0.9267,0.0,0.0,67583.4406
1,2024-01-02,00:00:00,0.6165,0.0047,1.0572,0.0,0.0,67585.119
1,2024-01-02,00:30:00,0.0769,0.014,0.9886,0.0,0.0,67586.1985
1,2024-01-02,01:00:00,0.0741,0.0049,0.961,0.0,0.0,67587.2385
1,2024-01-02,01:30:00,0.5962,0.0139,1.0046,0.0,0.0,67588.8532
1,2024-01-02,02:00:00,0.072,0.0152,1.0417,0.0,0.0,67589.9821
1,2024-01-02,02:30:00,0.6669,0.0144,0.9813,0.0,0.0,67591.6447
1,2024-01-02,03:00:00,0.6423,0.0145,1.0346,0.0,0.0,67593.3361
1,2024-01-02,03:30:00,0.0676,0.0138,1.0382,0.0,0.0,67594.4557
1,2024-01-02,04:00:00,0.0778,0.0144,0.953,0.0,0.0,67595.5009
1,2024-01-02,04:30:00,0.5904,0.0141,1.0709,0.0,0.0,67597.1763
1,2024-01-02,05:00:00,0.0746,0.0046,0.9679,0.0,0.0,67598.2234
1,2024-01-02,05:30:00,0.6156,0.0045,1.0583,0.0,0.0,67599.9018
1,2024-01-02,06:00:00,0.5639,0.0047,0.0261,0.0,0.0,67600.4965
1,2024-01-02,06:30:00,0.6044,0.0053,0.0263,0.0,0.0,67601.1325
1,2024-01-02,07:00:00,0.606,0.014,0.0234,0.0,0.0,67601.7759
1,2024-01-02,07:30:00,0.0716,0.0141,0.024,0.0,0.0,67601.8856
1,2024-01-02,08:00:00,0.0775,0.0049,0.0234,0.0,0.0,67601.9914
1,2024-01-02,08:30:00,0.5948,0.005,0.0267,0.0,0.0,67602.6179
1,2024-01-02,09:00:00,0.0712,0.0159,0.0269,0.0,0.0,67602.7319
1,2024-01-02,09:30:00,0.5853,0.0051,0.0268,0.0,0.0,67603.3491
1,2024-01-02,10:00:00,0.0717,0.0902,0.0265,0.0,0.0,67603.5375
1,2024-01-02,10:30:00,0.0791,0.0916,0.0272,0.0,0.0,67603.7354
1,2024-01-02,11:00:00,0.0807,0.0914,0.0255,0.0,0.0,67603.933
1,2024-01-02,11:30:00,0.6306,0.0957,0.0258,0.0,0.0,67604.6851
1,2024-01-02,12:00:00,0.0756,0.0957,0.0245,0.0,0.0,67604.8809
1,2024-01-02,12:30:00,0.0729,0.0829,0.024,0.0,0.0,67605.0607
1,2024-01-02,13:00:00,0.07,0.0888,0.0237,0.0,0.0,67605.2432
1,2024-01-02,13:30:00,0.0764,0.0876,0.0257,0.0,0.0,67605.4329
1,2024-01-02,14:00:00,0.0728,0.0809,0.0258,0.0,0.0,67605.6124
1,2024-01-02,14:30:00,0.0776,0.0846,0.0252,0.0,0.0,67605.7998
1,2024-01-02,15:00:00,0.0805,0.0948,0.0262,0.0,0.0,67606.0013
1,2024-01-02,15:30:00,0.6378,0.0979,0.0241,0.0,0.0,67606.7611
1,2024-01-02,16:00:00,0.0707,0.0787,0.0241,0.0,0.0,67606.9346
1,2024-01-02,16:30:00,0.5733,0.0942,0.027,0.0,0.0,67607.6291
1,2024-01-02,17:00:00,0.0797,0.0855,0.0275,0.0,0.0,67607.8218
1,2024-01-02,17:30:00,0.077,0.1001,0.0237,0.0,0.0,67608.0226
1,2024-01-02,18:00:00,0.0766,0.0961,0.0263,0.0408,0.0,67608.2624
1,2024-01-02,18:30:00,0.0764,0.089,0.0251,0.0378,0.0,67608.4907
1,2024-01-02,19:00:00,0.0782,0.0948,0.0233,0.043,0.0,67608.73
1,2024-01-02,19:30:00,0.0808,0.0833,0.0271,0.0389,0.0,67608.9601
1,2024-01-02,20:00:00,0.0751,0.0925,0.0266,0.0429,0.0,67609.1972
1,2024-01-02,20:30:00,0.0796,0.0988,0.027,0.0401,0.0,67609.4427
1,2024-01-02,21:00:00,0.5915,0.0049,0.0235,0.0421,0.0,67610.1047
1,2024-01-02,21:30:00,0.0723,0.0149,0.0261,0.0422,0.0,67610.2602
