house_id,date,date_range,time,white_goods,entertainment,air_conditioners,lighting,ev_charges,meter_reading
1,01-01-2024,jan_1,00:00:00,0.0782,0.0049,0.9594,0,0,67548.0425
1,01-01-2024,jan_1,00:30:00,0.0725,0.0049,1.0486,0,0,67549.1685
1,01-01-2024,jan_1,01:00:00,0.6259,0.0046,0.9655,0,0,67550.7645
1,01-01-2024,jan_1,01:30:00,0.604,0.0151,1.0376,0,0,67552.4212
1,01-01-2024,jan_1,02:00:00,0.6293,0.0147,0.987,0,0,67554.0522
1,01-01-2024,jan_1,02:30:00,0.0705,0.0161,1.0841,0,0,67555.2229
1,01-01-2024,jan_1,03:00:00,0.6843,0.0053,0.9361,0,0,67556.8486
1,01-01-2024,jan_1,03:30:00,0.0818,0.0055,0.9573,0,0,67557.8932
1,01-01-2024,jan_1,04:00:00,0.07,0.0145,1.0453,0,0,67559.023
1,01-01-2024,jan_1,04:30:00,0.6567,0.0152,0.9518,0,0,67560.6467
1,01-01-2024,jan_1,05:00:00,0.0708,0.0052,0.9952,0,0,67561.7179
1,01-01-2024,jan_1,05:30:00,0.6443,0.0162,0.9236,0,0,67563.302
1,01-01-2024,jan_1,06:00:00,0.6404,0.0146,0.0235,0,0,67563.9805
1,01-01-2024,jan_1,06:30:00,0.0768,0.0054,0.0226,0,0,67564.0853
1,01-01-2024,jan_1,07:00:00,0.0733,0.0152,0.0265,0,0,67564.2003
1,01-01-2024,jan_1,07:30:00,0.0796,0.0052,0.0241,0,0,67564.3092
1,01-01-2024,jan_1,08:00:00,0.644,0.0144,0.0267,0,0,67564.9943
1,01-01-2024,jan_1,08:30:00,0.0688,0.005,0.0245,0,0,67565.0926
1,01-01-2024,jan_1,09:00:00,0.5838,0.0053,0.026,0,0,67565.7077
1,01-01-2024,jan_1,09:30:00,0.0727,0.0157,0.0261,0,0,67565.8222
1,01-01-2024,jan_1,10:00:00,0.6658,0.0838,0.0233,0,0,67566.5951
1,01-01-2024,jan_1,10:30:00,0.566,0.0955,0.0258,0,0,67567.2824
1,01-01-2024,jan_1,11:00:00,0.077,0.0933,0.0228,0,0,67567.4755
1,01-01-2024,jan_1,11:30:00,0.6162,0.0916,0.0239,0,0,67568.2072
1,01-01-2024,jan_1,12:00:00,0.6227,0.0961,0.0248,0,0,67568.9508
